CUI1|CUI2
C0003811|C0700442
C0003811|C0700460
C0003811|C0700461
C0003811|C0700465
C0003811|C0700534
C0003811|C0724636
C0003811|C0766326
C0003811|C0886765
C0003811|C0916906
C0003811|C1369325
C0003811|C1564716
C0003811|C3537142
C0003838|C0030350
C0003838|C0032143
C0003838|C0038418
C0003838|C0605028
C0003838|C0700461
C0003850|C0022267
C0003850|C0028735
C0003850|C0033567
C0003850|C0282213
C0003850|C0282268
C0003850|C0354594
C0003851|C0040373
C0003851|C0770500
C0003864|C0066282
C0003864|C0073983
C0003864|C0771537
C0003868|C0021246
C0003868|C0031463
C0003868|C0038792
C0003868|C0771618
C0003868|C0771813
C0003868|C0813196
C0003868|C0982211
C0003869|C0008777
C0003869|C0008809
C0003869|C0282104
C0003869|C0282395
C0003869|C0771046
C0003872|C0004320
C0003872|C0018033
C0003872|C0032952
C0003872|C0666743
C0003872|C0717758
C0003872|C1122087
C0003872|C1608841
C0003872|C1619966
C0003872|C1678805
C0003872|C1872109
C0003872|C3179547
C0003872|C4238106
C0003872|C4291381
C0003872|C4490035
C0003872|C4530556
C0003872|C4535390
C0003872|C4541569
C0003872|C5222083
C0003873|C0004057
C0003873|C0004320
C0003873|C0004482
C0003873|C0006938
C0003873|C0008269
C0003873|C0010592
C0003873|C0012091
C0003873|C0012228
C0003873|C0014025
C0003873|C0014027
C0003873|C0015837
C0003873|C0016157
C0003873|C0016377
C0003873|C0018026
C0003873|C0018033
C0003873|C0018034
C0003873|C0020336
C0003873|C0020740
C0003873|C0021246
C0003873|C0022635
C0003873|C0025677
C0003873|C0027396
C0003873|C0030817
C0003873|C0031990
C0003873|C0036078
C0003873|C0038792
C0003873|C0039736
C0003873|C0040377
C0003873|C0050403
C0003873|C0055447
C0003873|C0055573
C0003873|C0059865
C0003873|C0063041
C0003873|C0064325
C0003873|C0068334
C0003873|C0069739
C0003873|C0071149
C0003873|C0074814
C0003873|C0083381
C0003873|C0087097
C0003873|C0209263
C0003873|C0245109
C0003873|C0282131
C0003873|C0304658
C0003873|C0393022
C0003873|C0538927
C0003873|C0546873
C0003873|C0596007
C0003873|C0666743
C0003873|C0700447
C0003873|C0700452
C0003873|C0700583
C0003873|C0717758
C0003873|C0771305
C0003873|C0813196
C0003873|C0886809
C0003873|C0887187
C0003873|C0887323
C0003873|C0887732
C0003873|C0913246
C0003873|C0949359
C0003873|C0981808
C0003873|C0982211
C0003873|C1122087
C0003873|C1383389
C0003873|C1577018
C0003873|C1609165
C0003873|C1619966
C0003873|C1709373
C0003873|C1872109
C0003873|C2353893
C0003873|C2930696
C0003873|C2987431
C0003873|C3885145
C0003873|C4044947
C0003873|C4238106
C0003873|C4291381
C0003873|C4490035
C0003873|C4530556
C0003873|C4535390
C0003873|C4541569
C0003873|C4726929
C0003873|C4741328
C0003873|C5195655
C0003873|C5222083
C0003873|C5432357
C0003950|C0022322
C0003950|C0025023
C0003950|C0031957
C0003950|C0034235
C0003950|C0034237
C0003950|C0034238
C0003950|C0071107
C0003950|C0137095
C0003950|C0207773
C0003950|C0892282
C0003950|C0892285
C0003950|C1145666
C0003962|C0002502
C0003962|C0006376
C0003962|C0014962
C0003962|C0014963
C0003962|C0016860
C0003962|C0037982
C0003962|C0076840
C0003962|C0301383
C0003962|C0304925
C0003962|C0538727
C0003962|C0546849
C0003962|C0724624
C0003962|C0949217
C0003962|C0981817
C0003962|C0991769
C0003962|C4703827
C0004030|C0002679
C0004030|C0016278
C0004030|C0025942
C0004030|C0027444
C0004030|C0064113
C0004030|C0086620
C0004030|C0338196
C0004030|C0393080
C0004030|C0537894
C0004030|C0935942
C0004030|C1145701
C0004030|C1832021
